SimulationIndex,Time,Distance,Velocity,Max Velocity,Acceleration,Motor Power,Battery Power,Battery Energy
136,0.16421917497283703,0.685,6.162022203934035,100,18.285132201112592,285000.0,285000.0,46802.46486725853
137,0.16503059691104555,0.6900000000000001,6.176823435958821,100,18.241104076461475,285000.0,285000.0,47033.72011964796
138,0.16584007447695623,0.6950000000000001,6.19155390130488,100,18.19749671442402,285000.0,285000.0,47264.4212259325
139,0.16664762619655707,0.7000000000000001,6.206214440008918,100,18.154303121643444,285000.0,285000.0,47494.57346601874
140,0.1674532702889956,0.705,6.220805876257839,100,18.111516469704735,285000.0,285000.0,47724.18203236372
141,0.16825702467379047,0.71,6.235329018797191,100,18.06913009010558,285000.0,285000.0,47953.252032030265
142,0.16905890697782397,0.715,6.249784661326303,100,18.027137469426737,285000.0,285000.0,48181.78848867981
143,0.16985893454212392,0.72,6.264173582880652,100,17.985532244679142,285000.0,285000.0,48409.796344505296
144,0.1706571244284426,0.725,6.278496548201924,100,17.944308198806336,285000.0,285000.0,48637.28046210612
145,0.17145349342564017,0.73,6.292754308096284,100,17.90345925636573,285000.0,285000.0,48864.245626307435
146,0.1722480580558796,0.735,6.3069475997812825,100,17.862979479368278,285000.0,285000.0,49090.69654592567
147,0.1730408345806399,0.74,6.32107714722185,100,17.822863063256147,285000.0,285000.0,49316.63785548236
148,0.1738318390065545,0.745,6.335143661455775,100,17.783104333027268,285000.0,285000.0,49542.07411686802
149,0.17462108709108035,0.75,6.3491478409090885,100,17.74369773950956,285000.0,285000.0,49767.00982095789
150,0.17540859434800446,0.755,6.363090371701703,100,17.704637855747258,285000.0,285000.0,49991.44938918126
151,0.17619437605279312,0.76,6.376971927943696,100,17.66591937353274,285000.0,285000.0,50215.397175046026
152,0.1769784472477893,0.765,6.390793172022564,100,17.6275371000391,285000.0,285000.0,50438.85746561994
153,0.1777608227472639,0.77,6.404554754881787,100,17.58948595458988,285000.0,285000.0,50661.834482970204
154,0.1785415171423253,0.775,6.41825731629103,100,17.551760965525343,285000.0,285000.0,50884.3323855627
155,0.17932054480569257,0.78,6.43190148510826,100,17.514357267178926,285000.0,285000.0,51106.35526962237
156,0.18009791989633667,0.785,6.445487879534097,100,17.477270096961476,285000.0,285000.0,51327.90717045594
157,0.18087365636399433,0.79,6.459017107358661,100,17.44049479253625,285000.0,285000.0,51548.99206373837
158,0.18164776795355855,0.795,6.472489766201184,100,17.404026789092466,285000.0,285000.0,51769.61386676418
159,0.1824202682093503,0.8,6.485906443742649,100,17.367861616710716,285000.0,285000.0,51989.776439664834
